P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,response
966.5288156195002,240.81445810714948,529.6664113430082,1435.1533239437379,1252.9375870840017,908.3751209274337,98.34977465158299,1063.837471451775,417.98051300600997,667.6486081669049,845.2583499363934,60.94803409465157,1077.2805262166148,919.3655067960772,1237.081459329861,1585.3658924919484,695.5514773912649,1898.1156653965613,1097.5248341017405,1050.4748252186503,502.05447907747595,170.5818921818424,706.1800682385442,991.0702852549429,865.0156035475198,605.6018850197713,527.8189492350335,568.1455224814451,66.4892128528
1671.6242087775,1611.6101462758936,770.8518284513558,125.18369489901701,612.6146505931425,808.3566501026157,665.2969466082073,793.968908312449,845.1967546029473,235.85064203763818,927.1244401474688,1326.8845321613508,910.6259701403764,845.1862017648037,352.26779688733177,2235.7655986396403,1939.0287277819007,45.42590091083694,1789.9605995654558,2355.1925097319163,1112.3550639626608,672.996703024235,1380.1494518657676,448.78828061080213,1212.7227080238108,1177.4258879089323,584.8273578886029,536.9977298831215,0.42
1065.0069220296,1954.6458670793434,2034.4064425392858,800.7309926703673,1246.4044052534966,408.1131314150445,987.9348208013911,602.5060943676024,419.48691716652115,683.1456445742346,389.9569940298873,851.8035127972355,885.0673494358081,451.8679262068956,1084.5182051206184,472.71995218552627,1547.4807026535636,1069.7771946649127,1751.592405672723,1523.705978117783,721.7573696764127,431.06599503369824,579.7276092338036,690.575951232739,430.404640213703,579.5023668750342,54.85827451778255,289.7169344187688,5.619404478
1131.0604115405001,1047.6634036595367,1273.5256651531568,1226.2351405531565,1263.0785534288311,750.997088634733,481.19922716869206,337.9183433775514,560.7270630154158,791.0155599127739,683.5721674432474,735.2214082193742,1138.4955766579749,123.61538943186413,802.7969850680599,930.4022124198104,1948.4969223361384,454.2191834858727,205.46191264936272,1210.6156700006331,562.7677373048184,576.9191163955481,627.5531625826496,192.34400109210233,1094.3044864547046,589.6732611621405,312.2465846830095,657.2731343416312,4.7117529067
1926.6480688860001,1531.4867579216677,1412.9752756976914,1779.4953585883925,915.6013378618483,338.46515706073666,495.5884634155867,816.9685561202156,166.2060649640104,671.5803564754718,328.8382522424689,1013.3749920335385,678.4257279217278,227.697685015948,348.76056750149957,1316.272386254885,1465.48829102131,596.955693861274,1029.5522744113212,544.9989798156632,898.4700780317447,167.59906472186537,583.7322280788422,1037.8999797202266,660.0276999644616,816.1968865247836,994.0465715069591,607.1722840523614,8.1471372996
339.6056759919999,90.45256990794695,479.2574768240871,885.1229908183827,875.1570051236191,558.731703627881,359.6959291536661,656.8778320136988,952.9203477664752,914.2651260653073,642.1976691274941,725.356307474976,830.9877304025136,513.9716000689671,77.69959367452046,545.5712659903456,770.2520785734316,722.0084701727704,483.3410856737705,676.3743160109278,1053.3167662295557,981.7259898006469,482.34305329851946,228.17968163895893,436.25298719245757,713.130690330959,1121.4752696650294,1305.1727027501252,23500.0
1014.8626896475001,1936.7564814527725,2045.2395978097672,851.5642484962533,1234.5890675768158,416.2307506378685,1028.7882518299891,594.8515228530327,383.5606035891118,647.9810606517947,412.8852612522624,851.0888816239088,829.5006039727976,500.2164738502542,1044.219914858413,442.4817122275288,1617.9231624720642,1141.4191944181239,1801.7161722282788,1571.769590807832,760.6883839764487,376.14642414395814,599.2994106781423,769.1164365411138,502.9901276812846,649.243689670444,134.9200970944769,238.2483188716989,0.11151081539999999
1212.1720635343002,1328.27477044108,989.0145420597962,1749.610832177548,566.9626884129192,966.8023033986342,677.1076239240263,1213.4752946136523,170.96224308939748,695.5825130598822,738.6297842372842,765.3090049874681,906.2096344667243,318.6966689406138,415.08739331099554,1328.245580630227,1856.842781610017,973.9818542142859,640.897262547228,1094.0494434740776,794.7031809588436,539.2063725948525,481.44455827375583,567.33307956479,1000.8221553937809,523.0257644987578,1109.1638856629968,797.8491957359724,18.2
200.4259875265999,337.83395694023966,379.73069002670604,108.01343755890463,724.0250411630388,1049.8230233988213,262.7993610289768,1153.0852349030095,1635.6418256349182,691.9785272198397,647.8279634720061,612.8417744315035,828.4853821697916,1213.7486935848333,398.40545199136926,1257.4019057857092,1604.8560526826325,996.9598725361095,451.86003586838103,120.47203693357116,230.4214351073754,330.5116477180982,351.45619348792764,339.94940313993817,218.04347352687566,551.7076180957497,769.3814565719181,575.4621483960734,1000.0
92.64502736329996,239.0109903197087,533.4476503778844,690.2425959825144,676.273326776373,668.9765413312725,533.6304980163443,438.66444395433507,864.2938942683686,1062.956266347867,825.0523017465943,604.6732976078288,645.0881714755452,445.85485229659537,128.82286757838224,440.659390199145,622.5698035026808,579.4347468396561,474.0067098589662,802.2453602029345,1132.4927353310186,992.7123574620213,459.6639325044639,294.2227520567545,503.71808421639804,771.9755630452424,1157.1548351495376,1292.3487027705182,100000.0
1637.4034395612998,1392.1587127543523,771.8807723244008,91.97791354728106,459.54249545454013,593.7220473947701,448.5881505733264,441.486506427346,648.2807193213273,703.5371867565763,538.9302920217926,265.6767568836976,33.6076563428604,102.65614862163991,233.29340439613338,404.12823208748915,535.4433200910895,565.8753124543177,497.8658245390258,378.34120152826375,282.07053757900275,295.84610602404695,384.772825095945,459.0456025515947,487.51477302999734,465.1533334143529,379.09041912465966,219.22114071514935,1700.0
1586.6874793372003,1906.7560404081069,868.5634062740503,339.45015812302313,295.8500651839485,980.062382915159,416.2951199600712,1618.5263640410155,1346.8665313048537,1479.7249745245688,406.7043470368544,1216.7773521110857,378.8878507420688,1038.400356705247,196.41391876169467,1003.00949420324,2396.1339593767816,1181.6253570614583,222.92663531264893,1302.5612336299387,938.0518268734139,500.98419440536594,751.1949542341762,918.8950724678588,1471.4235662336096,1936.3567514484853,814.7957387083218,161.15015532944437,190000.0
1437.5733581119002,1545.3469301612342,1212.0544452281406,2035.5181071099032,905.7763608117236,669.5081748308986,290.8272601648618,874.8953672546254,320.88732316923836,805.1327218246905,317.8405389933967,790.7438533746014,783.8766040635503,165.4157799136767,450.3542275915582,1521.4844136911029,1579.2558220774429,1000.9878533977263,565.0588219672077,689.3603860744611,610.7092484387884,276.8261130756241,742.8116023783148,592.4326537853839,596.7017059712334,738.5909786807565,367.68094468852973,843.4319949074536,2.0
